id,question
34,What are the opening hours for the Wierzynek restaurant in Kraków?
34,Can you tell me about the dining rooms available at Wierzynek and their themes?
34,Is there a website where I can find more information about Wierzynek and its menu?
34,Has Wierzynek hosted any famous guests or events in the past?
34,What is the location of Wierzynek in relation to the Main Square of Kraków?
39,What kind of events can I expect to experience at Pod Jaszczurami during my visit?
39,Is Pod Jaszczurami suitable for visitors looking for a nightlife experience in Kraków?
39,Can you tell me about the building's historical significance and its medieval roots?
39,How does Pod Jaszczurami support local creators and the arts in Kraków?
39,Are there any special concerts or exhibitions happening while I am in Kraków that I should check out at the club?
95,What are the opening hours for the Stylowa restaurant in Nowa Huta?
95,Can you tell me about the historical significance of the Stylowa restaurant since it opened in 1956?
95,"What type of cuisine does the Stylowa restaurant offer, and what makes it unique?"
95,"Is there outdoor seating available at the Stylowa restaurant, and what is the atmosphere like in that area?"
95,Are there any notable events or anecdotes associated with visitors of the Stylowa restaurant throughout its history?
449,What is the history behind the establishment of Jama Michalika café and how did it become popular among artists and students?
449,"Can you tell me more about the cabaret performances that took place at Jama Michalika, particularly the puppet theatre shows?"
449,"What unique features or decorations can I expect to see inside Jama Michalika, considering its Art Nouveau style?"
449,Is there any specific art or works from the Academy of Fine Arts that have been inspired by or displayed in Jama Michalika?
449,What kind of delicacies or special menu items does Jama Michalika offer to visitors who want to experience traditional Polish café culture?
1162,What are the opening hours for Vis-à-vis during the weekend?
1162,Can you tell me about the significance of the statue located in front of Vis-à-vis?
1162,Is there outdoor seating available at Vis-à-vis?
1162,What types of people commonly visit the bar Vis-à-vis?
1162,Can you share some notable artistic contributions associated with Vis-à-vis?
2381,What is the historical significance of Kościuszko Mound in Kraków?
2381,Can you describe the views from the top of Kościuszko Mound?
2381,When was Kościuszko Mound built and who constructed it?
2381,"Is there a specific path that leads to the summit of Kościuszko Mound, and what is the elevation?"
2381,What can visitors expect to see in the surrounding area of Kościuszko Mound?
2382,Can you tell me about the significance of the Nicolaus Copernicus Monument in Kraków and why it's an important landmark?
2382,"What can you share about the history of the statue, including when it was designed and its original location?"
2382,Is there a particular reason the monument was moved to its current location in Planty Park?
2382,"Who was the artist responsible for creating the Copernicus statue, and in what year was it completed?"
2382,How does the monument relate to the academic background of Copernicus and his connection to Kraków?
2384,What is the historical significance of the Tadeusz Rejtan Monument and who was responsible for its creation?
2384,Can you tell me about the materials used in the original construction of the monument and any changes made during its reconstruction?
2384,When was the Tadeusz Rejtan Monument officially unveiled to the public in Kraków?
2384,How does the design of the monument reflect neo-Gothic architectural styles prevalent during its period?
2384,What was the total cost for recreating the Tadeusz Rejtan Monument and when was its latest installation completed?
