phone,cemetery,emergency,opening_hours,website,pets_allowed,geometry,historic,wiki_summary_en,postal_code,toilets,natural,description,visiting_time,leisure,tourism,public_transport,brand,alt_name,amenity,reservation,attraction,highchair,parking,swimming_pool,contact_phone,community_centre,addr_street,contact_twitter,social_facility,contact_facebook,zoo,email,wheelchair,cuisine,contact_website,internet_access,opening_hours_reception,guest_house,addr_city,contact_instagram,image,location,outdoor_seating,museum,takeaway,smoking,name,id
,,,"Mo-We 10:00-01:00; Th,Fr 10:00-03:00; Sa 12:00-03:00; Su 12:00-01:00",,,POINT (19.9318205 50.0612594),no information,no information,,,no information,,,no information,no information,,,,pub,,,,,,,,,,,,,,no,,,,,,,,,,yes,,,,Stary Port,0
,,,24/7,,,POINT (19.8927726 50.0883023),no information,no information,,yes,no information,,,no information,no information,,McDonald's,,fast_food,,,,,,,,,,,,,,yes,burger,,,,,,,,,,,yes,no,McDonald's,1
+48 12 431 08 81,,,,http://www.klubre.pl/,,POINT (19.9414639 50.0611316),no information,no information,31-027,,no information,,,no information,no information,,,,biergarten,,,,,,,,Świętego Krzyża,,,,,,,,,,,,Kraków,,,,,,,,Re,2
+48 662 376 093,,,,,,POINT (19.9488582 50.0503615),no information,no information,,,no information,,,no information,no information,,,,bar,,,,,,,,Świętego Wawrzyńca,,,,,,,,,,,,,,,,,,,,Duffy's Irish Bar,3
,,,,,,POINT (19.9447786 50.0517173),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,Plac Nowy,,,,,,,zapiekanki,,,,,Kraków,,,,,,,,Bar Na Maxa,4
,,,,,,POINT (19.9448032 50.0516322),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frytki Belgijskie,5
,,,,,,POINT (19.9450004 50.0518027),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,,,,,,,,zapiekanki,,,,,,,,,no,,only,,Wanda Frączek Królowa,6
,,,,,,POINT (19.9451084 50.0516672),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,,,,,,,,zapiekanki,,,,,,,,,,,,,Bar pod Okrąglakiem,7
,,,,,,POINT (19.9369857 50.0632353),no information,no information,,,no information,,,no information,no information,,,,cafe,,,,,,,,Sławkowska,,,,,,,,,,,,Kraków,,,,,,,,DeCafencja,8
+48124210936,,,Mo-Su 12:00-22:00,https://www.restauracjacechowa.pl/,,POINT (19.9343435 50.0619534),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Jagiellońska,,,,,restauracjacechowa@gmail.com,,local,,wlan,,,,,,,,,,,Restauracja Cechowa,9
+48124225195,,,Mo-Su 12:00-22:00,http://www.trattoriasoprano.pl/en/,,POINT (19.9344567 50.0618232),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Świętej Anny,,,,,,,italian,,,,,Kraków,,,,,,,,Trattoria Soprano,10
,,,,,,POINT (19.9344048 50.0620115),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,,,,,,,,local,,,,,,,,,,,,,Bar Kuchcik,11
,,,,,,POINT (19.93522 50.0628558),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Jagiellońska,,,,,,,,,,,,Kraków,,,,,,,,Mr Jerry,12
+48 609 015 016,,,Mo-Th 13:00-23:00; Fr-Su 12:00-23:00,https://www.restauracjapino.pl/,,POINT (19.9357477 50.0631354),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Szczepańska,,,,,pino@restauracjapino.pl,,international,,,,,Kraków,,,,,,,,Pino,13
+48 (12) 431 24 33,,,Mo-Su 12:00-24:00,http://www.morskieoko.krakow.pl,,POINT (19.9363771 50.0637051),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Plac Szczepański,,,,,,,regional,,,,,,,,,,,,,Morskie Oko,14
,,,,,,POINT (19.9362856 50.0640328),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Plac Szczepański,,,,,,,local,,,,,Kraków,,,,,,,,Kluska na Placu,15
,,,"Mo-Fr 00:00-01:00,16:00-24:00; Sa,Su 00:00-02:00,12:00-24:00",https://www.facebook.com/bubbletoast/,,POINT (19.9357634 50.0641913),no information,no information,,,no information,,,no information,no information,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Toast,16
,,,"Mo-Fr 08:00-24:00; Sa,Su 00:00-01:00,08:00-24:00",https://scandale.pl,,POINT (19.9351467 50.0634133),no information,no information,,,no information,,,no information,no information,,,,bar,,,,,,,,Plac Szczepański,,,,,,,,,,,,,,,,,,,,Scandale Royal,17
,,,Mo-Su 09:00-23:00,,,POINT (19.936159 50.0631803),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Szczepańska,,,,,,,,,,,,Kraków,,,,,,,,Trzy rybki,18
,,,,,,POINT (19.9364598 50.0628616),no information,no information,,,no information,,,no information,no information,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krzysztofory,19
,,,,,,POINT (19.9362429 50.0623188),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Restauracja Towarzyska,20
,,,,,,POINT (19.936301 50.0626642),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Tetmajerowska;Restauracja Tetmajerowska,21
+48 605 821 161,,,Mo-Su 10:00-22:00,https://www.hawelka.pl/,,POINT (19.936419 50.0626523),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,yes,,,,,,Kraków,,,,,,,,Hawełka;Restauracja Hawełka,22
,,,"Su-Th 09:00-21:00; Fr,Sa 09:00-22:00",,,POINT (19.9365524 50.0626774),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Europejska;Restauracja Europejska,23
,,,Mo-Su 08:00-01:00,https://www.magnateria-restauracja.pl,,POINT (19.936659 50.0608704),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Magnateria,24
+48 12 422 25 26,,,Mo-Su 14:00-18:00+,,,POINT (19.9353462 50.0619715),no information,no information,,,no information,,,no information,no information,,,,pub,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Krawat;Klub Krawat,25
,,,"Mo-Su,PH 12:00-23:00",https://lagrandemamma.pl,,POINT (19.9355431 50.0612216),no information,no information,,yes,no information,,,no information,no information,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,La grande mamma,26
,,,,,,POINT (19.9357588 50.0611223),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,Rynek Główny,,,,,,,american;grill,,,,,Kraków,,,,,,,,Yummie,27
,,,,,,POINT (19.9362112 50.0610392),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,international;mexican,,,,,Kraków,,,,yes,,,,Sioux,28
,,,Mo-Su 12:00-23:00,,,POINT (19.9363004 50.061008),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,pizza,,,,,Kraków,,,,,,,,Dominium Pizza,29
,,,"Mo-Th 09:00-22:00; Fr,Sa 09:00-23:00; Su 09:00-22:00; PH 09:00-24:00",,,POINT (19.9370307 50.0607229),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,local;international,,,,,Kraków,,,,yes,,,outside,Wentzl,30
,,,,,,POINT (19.9370762 50.0607037),no information,no information,,,no information,,,no information,no information,,,,cafe,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Słodki Wentzl;Cafe Słodki Wentzl,31
,,,Mo-Su 12:00-22:00,,,POINT (19.9373789 50.0604226),no information,no information,,,no information,,,no information,no information,,,,fast_food,,,,,,,,Rynek Główny,,,,,,,grill,,,,,Kraków,,,,yes,,,,Grande Grill,32
,,,Mo-Su 12:00-20:00+,https://thespaghetti.pl,,POINT (19.9372038 50.0606131),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,italian,,,,,Kraków,,,,yes,,,outside,The Spaghetti,33
+48 12 424 96 00,,,Mo-Su 13:00-23:00,https://wierzynek.pl/,,POINT (19.9374073 50.0603841),no information,"Wierzynek is a restaurant located at the Main Square of Kraków Old Town. It occupies four floors and has a capacity of 200 guests.  There are eight separate dining rooms including the Italian Pompeii Rooms, the Tatra Room, The Clock Room, the Knights Room and the Chamber of Imagination.
Many world leaders and celebrities have visited the restaurant including Charles de Gaulle, Fidel Castro, Sophie Marceau and Kate Moss.",,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,polish,,,,,Kraków,,,,,,,,Wierzynek,34
,,,Mo-Su 12:00-22:00,,,POINT (19.9374422 50.0603362),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Tradycyja,35
,,,,,,POINT (19.9375352 50.0601772),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Amber,36
,,,,http://www.louisclub.pl/,,POINT (19.9380551 50.0601605),no information,no information,,,no information,,,no information,no information,,,,pub,,,,,,,,Rynek Główny,,,,,,,,,yes,,,Kraków,,,,,,,,Klub U Louisa,37
+48 530 129 673,,,"Mo-Th 13:00-23:00; Fr,Sa 12:00-23:00; Su 12:00-22:00",https://weselerestauracja.pl,,POINT (19.9380044 50.0606312),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,local,,,,,Kraków,,,,,,,,Wesele,38
,,,,https://podjaszczurami.pl/,,POINT (19.9381929 50.0608516),no information,"Pod Jaszczurami – a student club in Kraków. One of the oldest student clubs in Poland, in operation since 1960. It is located in a building with medieval roots, Kamienica pod Jaszczurką, at Rynek Główny 8. It is known for promoting creators from the Kraków student environment and for its advocacy of jazz.  
The club hosts concerts, political debates, poetry evenings, film screenings, discos, exhibitions, and other events. In the adjacent Theater 38, theatrical performances are held. Pod Jaszczurami is an integral part of Kraków's cultural life. Since 2001, the club has been overseen by the Kraków Institute of Art.",,,no information,also a nightclub,,no information,no information,,,,pub,,,,,,,,Rynek Główny,,,,,,no,,,,,,Kraków,,,,,,,,Klub Pod Jaszczurami,39
+48 12 4216669,,,,https://szara.pl,,POINT (19.9384282 50.0611479),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,international,,,,,Kraków,,,,,,,,Szara;Restauracja Szara,40
+48124291155,,,Mo-Fr 10:00-00:00; Sa-Su 10:00-01:00,https://www.hardrockcafe.com/location/krakow/,,POINT (19.938773 50.0614058),no information,no information,,yes,no information,,,no information,no information,,Hard Rock Cafe,,restaurant,,,,,,,,Rynek Główny,,,,,krakow@hardrockcafe.pl,limited,american,,wlan,,,Kraków,,,,pedestrian_zone,,,no,Hard Rock Cafe,41
,,,,,,POINT (19.9390342 50.0611418),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Sienna,,,,,,yes,italian,,,,,Kraków,,,,,,,,Sorrento,42
,,,,,,POINT (19.9396007 50.0620191),no information,no information,,,no information,,,no information,no information,,,,cafe,,,,,,,,,,,,,,,teahouse,,,,,,,,,,,,,Demmers Teahouse,43
,,,We-Su 10:00-17:30,,,POINT (19.940093 50.0618894),no information,no information,,,no information,,,no information,no information,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cafe Magia,44
,,,"Mo-Sa 08:00-22:00, Su 10:00-22:00",,,POINT (19.939 50.0622375),no information,no information,,,no information,,,no information,no information,,,,cafe,,,,,,,,Rynek Główny,,,,,,yes,,,,,,Kraków,,,,,,,,Bankowa;Kawiarnia Bankowa,45
,,,Mo-Su 09:30+,https://www.thepianorouge.com.pl/,,POINT (19.9388086 50.0622651),no information,no information,,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,yes,,,,The Piano Rouge,46
