phone,cemetery,emergency,opening_hours,website,pets_allowed,geometry,historic,wiki_summary_en,postal_code,toilets,natural,description,visiting_time,leisure,tourism,public_transport,brand,alt_name,amenity,reservation,attraction,highchair,parking,swimming_pool,contact:phone,community_centre,addr:street,contact:twitter,social_facility,contact:facebook,zoo,email,wheelchair,cuisine,contact:website,internet_access,opening_hours:reception,guest_house,addr:city,contact:instagram,image,location,outdoor_seating,museum,takeaway,smoking,all_names_concat
,,,"Mo-We 10:00-01:00; Th,Fr 10:00-03:00; Sa 12:00-03:00; Su 12:00-01:00",,,POINT (19.9318205 50.0612594),,,,,,,,,,,,,pub,,,,,,,,,,,,,,no,,,,,,,,,,yes,,,,Stary Port
,,,24/7,,,POINT (19.8927726 50.0883023),,,,yes,,,,,,,McDonald's,,fast_food,,,,,,,,,,,,,,yes,burger,,,,,,,,,,,yes,no,McDonald's
+48 12 431 08 81,,,,http://www.klubre.pl/,,POINT (19.9414639 50.0611316),,,31-027,,,,,,,,,,biergarten,,,,,,,,Świętego Krzyża,,,,,,,,,,,,Kraków,,,,,,,,Re
+48 662 376 093,,,,,,POINT (19.9488582 50.0503615),,,,,,,,,,,,,bar,,,,,,,,Świętego Wawrzyńca,,,,,,,,,,,,,,,,,,,,Duffy's Irish Bar
,,,,,,POINT (19.9447786 50.0517173),,,,,,,,,,,,,fast_food,,,,,,,,Plac Nowy,,,,,,,zapiekanki,,,,,Kraków,,,,,,,,Bar Na Maxa
,,,,,,POINT (19.9448032 50.0516322),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frytki Belgijskie
,,,,,,POINT (19.9450004 50.0518027),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,zapiekanki,,,,,,,,,no,,only,,Wanda Frączek Królowa
,,,,,,POINT (19.9451084 50.0516672),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,zapiekanki,,,,,,,,,,,,,Bar pod Okrąglakiem
,,,,,,POINT (19.9369857 50.0632353),,,,,,,,,,,,,cafe,,,,,,,,Sławkowska,,,,,,,,,,,,Kraków,,,,,,,,DeCafencja
+48124210936,,,Mo-Su 12:00-22:00,https://www.restauracjacechowa.pl/,,POINT (19.9343435 50.0619534),,,,,,,,,,,,,restaurant,,,,,,,,Jagiellońska,,,,,restauracjacechowa@gmail.com,,local,,wlan,,,,,,,,,,,Restauracja Cechowa
+48124225195,,,Mo-Su 12:00-22:00,http://www.trattoriasoprano.pl/en/,,POINT (19.9344567 50.0618232),,,,,,,,,,,,,restaurant,,,,,,,,Świętej Anny,,,,,,,italian,,,,,Kraków,,,,,,,,Trattoria Soprano
,,,,,,POINT (19.9344048 50.0620115),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,local,,,,,,,,,,,,,Bar Kuchcik
,,,,,,POINT (19.93522 50.0628558),,,,,,,,,,,,,restaurant,,,,,,,,Jagiellońska,,,,,,,,,,,,Kraków,,,,,,,,Mr Jerry
+48 609 015 016,,,Mo-Th 13:00-23:00; Fr-Su 12:00-23:00,https://www.restauracjapino.pl/,,POINT (19.9357477 50.0631354),,,,,,,,,,,,,restaurant,,,,,,,,Szczepańska,,,,,pino@restauracjapino.pl,,international,,,,,Kraków,,,,,,,,Pino
