phone,cemetery,emergency,opening_hours,website,pets_allowed,geometry,historic,wiki_summary_en,postal_code,toilets,natural,description,visiting_time,leisure,tourism,public_transport,brand,alt_name,amenity,reservation,attraction,highchair,parking,swimming_pool,contact_phone,community_centre,addr_street,contact_twitter,social_facility,contact_facebook,zoo,email,wheelchair,cuisine,contact_website,internet_access,opening_hours_reception,guest_house,addr_city,contact_instagram,image,location,outdoor_seating,museum,takeaway,smoking,name,id
+48 12 424 96 00,,,Mo-Su 13:00-23:00,https://wierzynek.pl/,,POINT (19.9374073 50.0603841),no information,"Wierzynek is a restaurant located at the Main Square of Kraków Old Town. It occupies four floors and has a capacity of 200 guests.  There are eight separate dining rooms including the Italian Pompeii Rooms, the Tatra Room, The Clock Room, the Knights Room and the Chamber of Imagination.
Many world leaders and celebrities have visited the restaurant including Charles de Gaulle, Fidel Castro, Sophie Marceau and Kate Moss.",,,no information,,,no information,no information,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,polish,,,,,Kraków,,,,,,,,Wierzynek,34
,,,,https://podjaszczurami.pl/,,POINT (19.9381929 50.0608516),no information,"Pod Jaszczurami – a student club in Kraków. One of the oldest student clubs in Poland, in operation since 1960. It is located in a building with medieval roots, Kamienica pod Jaszczurką, at Rynek Główny 8. It is known for promoting creators from the Kraków student environment and for its advocacy of jazz.  
The club hosts concerts, political debates, poetry evenings, film screenings, discos, exhibitions, and other events. In the adjacent Theater 38, theatrical performances are held. Pod Jaszczurami is an integral part of Kraków's cultural life. Since 2001, the club has been overseen by the Kraków Institute of Art.",,,no information,also a nightclub,,no information,no information,,,,pub,,,,,,,,Rynek Główny,,,,,,no,,,,,,Kraków,,,,,,,,Klub Pod Jaszczurami,39
,,,Mo-Su 10:00-21:30,,,POINT (20.0378777 50.0746969),no information,"Restaurant ""Stylowa"" – the oldest restaurant in Nowa Huta, operating since 1956 in a location on os. Centrum C 3, in Aleja Róż, initially as a café. It is referred to as ""iconic.""  
The buildings of the C-31 estate (currently Centrum C) were constructed between 1953 and 1955, and the main designer of building no. 3, where the restaurant is located, was Adam Fołtyn. The café ""Stylowa"" opened on July 22, 1956, and was, alongside the now non-existent restaurant ""Arkadia,"" the most elegant establishment in Nowa Huta. The decor, typical of public interiors from the era of socialist realism, is characterized by a high level of decoration, featuring sculpted walls, marble floors, chandeliers, and characteristic columns; the café also had individually designed furniture.  
In 1957, the café was under the jurisdiction of the Nowa Huta Gastronomic Enterprises. The guide ""Huta im. Lenina and Nowa Huta"" from that year describes it as a first-category establishment, with a full range of café dishes, exquisite cuisine, and dancing. It was there that the residents of Nowa Huta were taught to enjoy coffee. Guests were welcomed at the door by a porter, and strong alcohol was not served, only Bulgarian wines and brandies. There was a piano inside, which was played in the afternoons. In the 1950s, ""Stylowa"" was frequented by the New Huta elite: engineers, doctors, teachers. Later, the venue gained a reputation as a restaurant for currency speculators.  
From 1973 to 1989, in close proximity to ""Stylowa,"" stood a statue of Vladimir Lenin designed by Marian Konieczny, facing the Central Square. Locals would say that Lenin from Aleja Róż had come out of ""Stylowa"" and was going to ""Arkadia,"" a restaurant located across the square on al. Róż, on os. Centrum B 1 (currently the location of BPH bank). It also happened that currency speculators residing in ""Stylowa"" would jokingly order ""pork chop for Lenin"" and send someone from the staff, for an additional fee, to bring the cutlet to the statue. On the night of April 17-18, 1979, an explosive device was placed under the statue, and as a result of the explosion, only the heel of Lenin's figure was damaged – since that incident, the restaurant has been jokingly called ""The Bar Under the Stub."" The restaurant is also associated with a sports scandal. Early in his football career at Wisła Kraków and the national team, Andrzej Iwan ended up in jail for assaulting one of the waitresses at ""Stylowa"" and was punished with a one-year ban.  
After the political changes, the establishment was taken over by some of the workers. After renovation, it was reopened in October 2003, with guests including Krystyna Zachwatowicz at the ceremony. Currently, ""Stylowa,"" due to its preserved ""People's Poland color,"" is a frequent stop for foreign tourists visiting Nowa Huta, who are interested in the times of communism.",,,no information,,,no information,no information,,,,restaurant,,,,,,,,,,,,,,,polish,,,,,Kraków,,,,pedestrian_zone,,,no,Stylowa,95
,,,,https://jamamichalika.pl/,,POINT (19.940929 50.0640836),no information,"Jama Michalika is a historic café in Kraków, Poland, established in 1895. It is located at Floriańska Street in Kraków, the capital of the Lesser Poland region.
Jama Michalika (lit. Michalik's Den in Polish) is one of the oldest Kraków cafes. It was founded in 1895 by Jan Apolinary Michalik as Cukiernia Lwowska (Lwów Confiserie). The current name, also translated as the Michalik's Cave, came into existence because initially Michalik could afford only a single room in the back, without any windows. The central location in the Ulica Floriańska 45 as well as the patisserie offering and the invitation to students from the nearby Academy of Fine Arts to dine there free of charge in exchange for their small works of art, the cafe became quickly popular.

In 1905, the cabaret Zielony Balonik (Green Balloon) began staging performances at the café. As a highlight of every cabaret evening was the appearance of a puppet theatre designed and produced for widely popular shows against bigotry and imperial censorship, by Bronisława Janowska among others. Some of the puppets depicted prominent Cracovians. A selection of those historic puppets are displayed at the cafe. The interior is decorated with Art Nouveau furniture, mirrors, stained glass, lamps and cabinets.",,,no information,,,no information,no information,,,,cafe,,,,,,,,Floriańska,,,,,,,,,,,,Kraków,,,,,,,,"Kawiarnia Jama Michalika;Kaffee ""Jama Michalika"" Michaels Grotte",449
,,,"Mo-Th 08:00-24:00, Fr-Su 08:00-01:00",https://zvis.pl/,,POINT (19.9357419 50.0617776),no information,"Vis-à-vis is a bar located in Kraków's Old Town at Rynek Główny 29, in the tenement house ""Pod Blachą."" It opened in 1978 in a space previously occupied by a fish store of the Fish Central. It is popularly known as Zwis. For years, it housed the informal office of Piwnica pod Baranami, a place for regular meetings of people associated with this cabaret. In front of the entrance stands a statue of Piotr Skrzynecki, the leader and master of ceremonies of the Piwnica pod Baranami cabaret, who was once a regular at this café. The statue was funded by composer Zbigniew Preisner. The sculpture was made by Grażyna Borkowska-Niemojewska and Łukasz Niemojewski. The café is still frequented mainly by artists: painters, poets, singers, sculptors, musicians, and actors, as well as photographers and filmmakers, and well-known figures from Kraków.

Notable past and present patrons of the bar include poet Marcin Świetlicki (who immortalized the venue in his poem Do Zwisu i z powrotem and the crime novel Dwanaście), musician Andrzej Sikorowski, poet Tadeusz Śliwiak, critic Paweł Głowacki, musician Leszek Wójtowicz, and actor Jan Nowicki. A frequent visitor to Zwis was the famous Kloszard Zbigniew Fijałkowski, a character in numerous incidents and stories. Since 2007, bar patrons have published a magazine called ""Vis a vis,"" available in print and online. The illustrations for it are created by Iwona Siwek-Front, featuring daily stories about the Iced Gingerbread Woman with an impure soul. A comic by the artist that illustrates the social life of the local community and Vis-à-vis patrons hangs permanently in the bar. For many years, the bartender at Zwis has been Kraków poet Marek Wawrzyński, whose poetry collection – Na stronach – had its promotion at Piwnica.",,,no information,,,no information,no information,,,,bar,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,yes,,,,Vis-à-vis,1162
,,,,https://kopieckosciuszki.pl/,,POINT (19.8933537 50.054915),monument,"Kościuszko Mound (Polish: kopiec Kościuszki) is an artificial mound in Kraków, Poland. It was erected by Cracovians in commemoration of the Polish national leader Tadeusz Kościuszko, and modelled after Kraków's prehistoric mounds of Krak and Wanda. A serpentine path leads to the top, approximately 326 metres (1,070 ft) above sea level, with a panoramic view of the Vistula River and the city.",,,peak,Kopiec Kościuszki usypany w 1823 roku przez społeczeństwo polskie,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiec Kościuszki;Kościuszko Mound;Kościuszko-Hügel;Курган Костюшко,2381
,,,,,,POINT (19.9327559 50.0613222),memorial,"The Nicolaus Copernicus Monument in Kraków (Polish: Pomnik Mikołaja Kopernika) is a notable landmark of Kraków, Poland.  It memorializes the astronomer Copernicus, who studied at the Kraków Academy and whose father came from that city, then the capital of Poland.
The statue, designed by sculptor Cyprian Godebski in 1899, was completed in 1900. It originally stood in the courtyard of the Jagiellonian University's Collegium Maius. In 1953 it was moved to Kraków's Planty Park, in front of the Collegium Witkowski building.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikołaj Kopernik;Statue of Nicolaus Copernicus;Nikolaus-Kopernikus-Denkmal;Cyprian Godebski,2382
,,,,,,POINT (19.9353947 50.0660179),memorial,"The Tadeusz Rejtan Monument is located in Krakow at the Prof. Władysław Bartoszewski Square, at the intersection of Basztowa, Dunajewskiego, and Garbarska streets. The initiator of the monument’s creation was probably Stefan Rejtan, one of the last representatives of the family. It was made between 1856 and 1859 at the Lilpop, Rau, and Loewenstein factory in Warsaw. A faithful copy of the monument can be found on the grave of Stanisław Lilpop at the Warsaw Powązki Cemetery, made after 1866. The monument was given to Krakow as a gift from the Rejtan family in the late 1880s. The official unveiling of the monument in Krakow took place in June 1890; it did not attract much interest from the residents, and the monument itself was repeatedly criticized for its ""cemetery character."" In fact, the neo-Gothic form of the chapel was a very popular motif in gravestone architecture at that time, and the monument was originally intended to be placed on Rejtan's grave in Lachowicze. The neo-Gothic chapel, made of cast iron, contained a bust of Tadeusz Rejtan signed by the little-known sculptor Teodor Zakrzewski. In February 1946, the monument, damaged by a storm, was dismantled, and the bust of Rejtan was transferred to the collections of the National Museum in Krakow. In the 1990s, the idea of returning the monument to the square, which was once part of the Krakow Planty, emerged. However, the monument was recreated only in 2007. The reconstruction of the monument was undertaken by Czesław Dźwigaj. This was based on meticulously gathered documentation, especially archival photographs, as well as the same monument standing on the Lilpop family tomb at the Warsaw Powązki. The bust itself was made based on the preserved original in the National Museum in Krakow, introducing, as is standard practice in such cases, a so-called ""material error,"" meaning an element that differentiates the replica from the original. In the case of the Krakow monument, Prof. Dźwigaj decided that one of Rejtan's hair strands would be directed differently. The monument stands on a granite base forming two steps, each 30 cm high, measuring 11 meters in height and weighing 6 tons. The cost of recreating the monument was 900,000 zlotys. The installation of the monument took place on May 24, 2007, while the ceremonial unveiling of the monument was conducted on June 9, 2007, during the ongoing celebrations of the 750th anniversary of the founding of the city of Krakow.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadeusz Rejtan,2384
,,,,,,POINT (19.9378211 50.0568103),memorial,"The monument of Piotr Skarga in Kraków – a monument to the Jesuit theologian and preacher, Piotr Skarga, located at Maria Magdalena Square in Kraków, opposite the Church of St. Peter and Paul, where Skarga is buried. It was created by Czesław Dźwigaj and funded by the Archconfraternity of Mercy. The monument of Piotr Skarga was unveiled on May 12, 2001, in the presence of the then mayor Andrzej Gołaś, Cardinal Franciszek Macharski, Bishop Kazimierz Nycz, representatives of the Archconfraternity, the Curia, the local government, and the people of Kraków.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Piotr Skarga;Piotr-Skarga-Denkmal,2385
,,,,,,POINT (19.942144 50.0664155),memorial,"The Grunwald Monument (Polish: Pomnik Grunwaldzki) is an equestrian statue of King of Poland Władysław II Jagiełło (1352–1434) located at Matejko Square in Kraków, Poland. It was constructed in 1910 to commemorate the 500th anniversary of the Battle of Grunwald, when an alliance of the Crown of the Kingdom of Poland and the Grand Duchy of Lithuania decisively defeated the German Teutonic Order.
The statue depicts Jagiełło atop his horse with his cousin, and Grand Duke of Lithuania, Vytautas to his front. On either side of Jagiełło are soldiers lifting their arms in celebration of victory. Depicted lying dead at the steps of the statue is Grand Master of the Teutonic Knights Ulrich von Jungingen. It was destroyed by German soldiers following the Invasion of Poland by Nazi Germany in 1939, but was reconstructed in 1976 based on a design by Marian Konieczny.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik Grunwaldzki;Grunwald Monument;Grunwalddenkmal;Grünwaldi csata (1410) emlékműve;Помнік Грунвальдскі;Antoni Wiwulski;Monument Grunwald,2386
